0.01	1.040104219903789E-6 -2.736489877939892E-53	3.787604970073988E-7 +1.3679422745613624E-65
0.02	0.00001782115897493215 +2.2918644032598453E-51	0.000017838887310143527 +5.4717690940530056E-65
0.03	0.00009051995317366634 +5.97468763467495E-51	0.00008922549696684974 +1.231148045009004E-64
0.04	0.00028735127458037025 +6.011960312466717E-51	0.00028199480224719607 +2.1887076359442246E-64
0.05	0.0007057852387879893 +6.059074200525112E-51	0.0006856182851323816 +3.419855682630206E-64
0.06	0.0014751074117029229 +6.115472087322882E-51	0.0014150971190079978 +4.924592182551483E-64
0.07	0.002760520693575817 +6.180521626617718E-51	0.0026082767391157643 +6.70291713906201E-64
0.08	0.0047695202803278965 +6.253537710331048E-51	0.00442779575885305 +8.754830547130853E-64
0.09	0.007761852731078857 +6.333804107519924E-51	0.007061239619928517 +1.1080332410950458E-63
0.1	0.0120650479723333 +6.42059321854748E-51	0.010725289670434771 +1.3679422728843847E-63
0.11	0.018099110606238287 -1.3158198810359066E-16	0.01567206970106588 +1.6552101504164974E-63
0.12	0.026416877962434852 +2.6316397620718127E-16	0.02220036059497298 +1.9698368728528952E-63
0.13	0.03777297843583895 +2.3118224410274433E-63	0.03067368572993424 +2.311822441032067E-63
0.14	0.05324922848768135 -2.631639762071813E-16	0.041552720532030636 +2.6811668549540126E-63
0.15	0.07450356990528245 +3.077870113941785E-63	0.055452831664958985 +3.077870113947941E-63
0.16	0.10433093391128365 +3.501932217839151E-63	0.0732587250544396 +3.5019322178461547E-63
0.17	0.14820128319982828 +1.3158198810359066E-16	0.09638768103191787 +3.953353168661026E-63
0.18	0.22029975921520134 +4.4321329643713187E-63	0.12757769808763783 +4.432132964380183E-63
0.19	0.4695236224383795 +1.0398475052994986E-8	0.1761127100198373 +1.5955979473754934E-9
0.2	0.41490215597557883 +0.30841589376603534	0.2427616199633666 +0.037841622270882266
0.21	0.3515511993872764 +0.4389437453657131	0.28786285697043074 +0.0964356920326284
0.22	0.28340107051492097 +0.535794811951457	0.3171552155727335 +0.1609174736868196
0.23	0.2129913597863942 +0.6125753243343804	0.33466973404235245 +0.22663959600442496
0.24	0.1419595653381454 +0.6750738771976162	0.3432843172064826 +0.2915874340753838
0.25	0.07135196188771496 +0.7266665277825265	0.34508482028235166 +0.3548525701040614
0.26	0.001824426436444459 +0.769635040640621	0.3416045432529877 +0.4160555431986556
0.27	 -0.0662262518979085 +0.8056447559474424	0.33398552611492904 +0.475083134150828
0.28	 -0.132575522483379 +0.8359650429695671	0.32308916900117773 +0.5319574151870147
0.29	 -0.19711308999915206 +0.8615895147624878	0.30957284490669335 +0.5867671641259261
0.3	 -0.25980403380346073 +0.8833097655867702	0.2939439313457549 +0.6396310216031457
0.31	 -0.32066246820000016 +0.9017644386560018	0.27659818882980425 +0.6906775736626319
0.32	 -0.37973362331418425 +0.9174737533024857	0.25784753345636013 +0.740034726347708
0.33	 -0.4370818706770976 +0.9308647546624139	0.23794016502539078 +0.7878242710396123
0.34	 -0.49278235481378374 +0.9422902865545761	0.21707541334458816 +0.8341593693428963
0.35	 -0.5469155625054756 +0.9520435317489686	0.1954148175683463 +0.8791436672690803
0.36	 -0.5995635496813685 +0.9603693221108482	0.17309035805246265 +0.9228713034279525
0.37	 -0.6508075788120132 +0.9674730392877612	0.15021074357816447 +0.965427385204384
0.38	 -0.7007265154069018 +0.9735276858910322	0.12686623110640968 +1.0068886841145337
0.39	 -0.7493959112566285 +0.9786795480881584	0.10313223589796307 +1.0473244117550466
0.4	 -0.7968873270124827 +0.9830527614636084	0.07907224770244502 +1.0867969996265117
0.41	 -0.8432683125307823 +0.9867530149854287	0.054740061502260684 +1.1253628388902441
0.42	 -0.8886021192777799 +0.9898705722426717	0.030181491896165005 +1.1630729610653792
0.43	 -0.9329478803980986 +0.9924827481241646	0.005435818676224561 +1.1999736511019878
0.44	 -0.9763607134811317 +0.9946559484672949	 -0.019463138664589742 +1.2361069963998519
0.45	 -1.0188918711443118 +0.9964473570175798	 -0.044486083772640926 +1.2715113692112159
0.46	 -1.0605890464416652 +0.9979063363099281	 -0.06960755771307302 +1.3062218509483476
0.47	 -1.1014964880769802 +0.9990755954056691	 -0.09480533513525916 +1.3402706056270068
0.48	 -1.1416553208375015 +0.9999921667869752	 -0.12005992126599743 +1.373687204110151
0.49	 -1.1811037180725819 +1.0006882263881796	 -0.1453541961505611 +1.4064989091082696
0.5	 -1.2198771561580803 +1.0011917841891078	 -0.17067303538155915 +1.438730923600866
0.51	 -1.2580085897275408 +1.0015272676046798	 -0.1960030671842991 +1.470406607848711
0.52	 -1.2955286731910072 +1.0017160157723703	 -0.22133243315957224 +1.5015476692862662
0.53	 -1.3324659131826124 +1.0017766995334723	 -0.24665058958378133 +1.5321743295723453
0.54	 -1.3688468677848669 +1.0017256792476437	 -0.2719481493815391 +1.5623054703350396
0.55	 -1.4046962926275377 +1.0015773104367118	 -0.2972167328411989 +1.5919587623244456
0.56	 -1.440037265373067 +1.0013442055169668	 -0.3224488521733268 +1.6211507783820682
0.57	 -1.4748913446118768 +1.001037458466633	 -0.34763781346329947 +1.6498970935255202
0.58	 -1.509278678097694 +1.0006668381222665	 -0.3727776259892208 +1.6782123734285037
0.59	 -1.5432181141253698 +1.0002409548533433	 -0.3978629108012758 +1.7061104543798031
0.6	 -1.5767272962453733 +0.9997674045881441	 -0.42288886574161727 +1.7336044109709956
0.61	 -1.6098227892447179 +0.9992528935239976	 -0.4478511669146256 +1.7607066203351438
0.62	 -1.642520112916253 +0.9987033463257264	 -0.47274595062930785 +1.7874288166741155
0.63	 -1.6748338630505843 +0.9981240001769903	 -0.4975697483560437 +1.813782142019979
0.64	 -1.706777756204227 +0.9975194866840243	 -0.5223194593982433 +1.8397771904885736
0.65	 -1.7383647116069596 +0.9968939033265394	 -0.5469923108794227 +1.8654240485544495
0.66	 -1.7696069076516936 +0.9962508758956764	 -0.5715858140299179 +1.8907323321806098
0.67	 -1.8005158157825827 +0.9955936131451987	 -0.5960977695672377 +1.9157112188186987
0.68	 -1.8311022943607616 +0.9949249547023652	 -0.6205262007725283 +1.9403694772828255
0.69	 -1.8613765861927765 +0.9942474131335374	 -0.6448693675728296 +1.9647154960365125
0.7	 -1.891348399070008 +0.9935632109315655	 -0.6691257257038131 +1.988757306321265
