0.01	0.4019947989831691 0.3404521359847364	0.2539360031630277 0.04939529614480855
0.02	-0.8167558729027393 0.9847040261278538	0.068748571638861 1.103315745028191
0.03	-1.5978988370973726 0.999443332516521	-0.4388298502843154 1.7509481626912313
0.04	-2.1993669603547525 0.9861229811642654	-0.9264748046902913 2.232004379479479
0.05	-2.708130179889838 0.9742138024520617	-1.37643745838313 2.6166877536124717
0.06	-3.156508080481324 0.9653978610138816	-1.7902500771094658 2.9371291359294154
0.07	-3.5606983477752507 0.95894693194455	-2.1722895279964707 3.21154759913566
0.08	-3.9304137165788746 0.9541442128454081	-2.526903192681978 3.451380354269668
0.09	-4.272140865677081 0.9504885077440074	-2.8578430491419256 3.664289685711231
0.1	-4.590519774007253 0.9476457600347222	-3.1682307372736505 3.85565848777144
0.11	-4.8890283537511 0.9453921868039895	-3.4606437800533842 4.0294105936073725
0.12	-5.170363231371436 0.9435750363099283	-3.7372161544708358 4.188492725197746
0.13	-5.436669753478376 0.9420877326442005	-3.999726270635437 4.33517295156587
0.14	-5.689689773655471 0.9408542913762405	-4.249668038310665 4.471233519109206
0.15	-5.930861195196783 0.9398194319696795	-4.488306728769129 4.59809989584494
0.16	-6.161387569066705 0.9389421850680159	-4.716722565499217 4.71692974095255
0.17	-6.3822882385929045 0.9381916729234533	-4.9358448020841195 4.82867583462214
0.18	-6.594435367701721 0.9375442665645605	-5.146478509820691 4.934131591629724
0.19	-6.798581881468169 0.936981632815929	-5.349325772143825 5.03396463027229
0.2	-6.99538290026826 0.9364893679903606	-5.545002598697395 5.128741962861337
0.21	-7.185412474012523 0.9360560257700611	-5.7340525311668324 5.218949194710757
0.22	-7.369176793838188 0.9356724147074694	-5.9169576756789715 5.305005360560454
0.23	-7.547124771676437 0.9353310832323994	-6.094147711169503 5.387274534772669
0.24	-7.719656592932624 0.9350259370893315	-6.2660073122627775 5.466075020487373
0.25	-7.887130700425141 0.9347519516563138	-6.432882296587594 5.5416866986964495
0.26	-8.049869550877444 0.9345049531534576	-6.595084752185793 5.61435696151402
0.27	-8.208164391268603 0.9342814504911532	-6.7528973504579515 5.684305544734206
